author_given	author_family	affiliation	DOI
Smitha	Milli	University of California, Berkeley	10.1145/3287560.3287562
Ludwig	Schmidt	University of California, Berkeley	10.1145/3287560.3287562
Anca D.	Dragan	University of California, Berkeley	10.1145/3287560.3287562
Moritz	Hardt	University of California, Berkeley	10.1145/3287560.3287562
Berk	Ustun	Harvard University, Cambridge, MA	10.1145/3287560.3287566
Alexander	Spangher	Carnegie Mellon University, Pittsburgh, PA	10.1145/3287560.3287566
Yang	Liu	UC Santa Cruz CSE, Santa Cruz, CA	10.1145/3287560.3287566
Chris	Russell	The University of Surrey and The Alan Turing Institute	10.1145/3287560.3287569
Vivian	Lai	University of Colorado Boulder	10.1145/3287560.3287590
Chenhao	Tan	University of Colorado Boulder	10.1145/3287560.3287590
Samir	Passi	Information Science, Cornell University	10.1145/3287560.3287567
Solon	Barocas	Information Science, Cornell University	10.1145/3287560.3287567
Ben	Hutchinson	N/A	10.1145/3287560.3287600
Margaret	Mitchell	N/A	10.1145/3287560.3287600
Andrew D.	Selbst	Data &amp; Society Research Institute, New York, NY	10.1145/3287560.3287598
Danah	Boyd	Microsoft Research and Data &amp; Society Research Institute, New York, NY	10.1145/3287560.3287598
Sorelle A.	Friedler	Haverford College, Haverford, PA	10.1145/3287560.3287598
Suresh	Venkatasubramanian	University of Utah, Salt Lake City, UT	10.1145/3287560.3287598
Janet	Vertesi	Princeton University, Princeton, NJ	10.1145/3287560.3287598
Severin	Engelmann	Technical University of Munich	10.1145/3287560.3287585
Mo	Chen	Technical University of Munich	10.1145/3287560.3287585
Felix	Fischer	Technical University of Munich and IF, London	10.1145/3287560.3287585
Ching-yu	Kao	Fraunhofer Institute for Applied and Integrated Security	10.1145/3287560.3287585
Jens	Grossklags	Technical University of Munich	10.1145/3287560.3287585
Stevie	Chancellor	Georgia Tech, Atlanta, GA, US	10.1145/3287560.3287587
Michael L.	Birnbaum	Northwell Health, Glen Oaks, NY, US	10.1145/3287560.3287587
Eric D.	Caine	University of Rochester, Rochester, NY, US	10.1145/3287560.3287587
Vincent M. B.	Silenzio	University of Rochester, Rochester, NY, US	10.1145/3287560.3287587
Munmun	De Choudhury	Georgia Tech, Atlanta, GA, US	10.1145/3287560.3287587
Ziad	Obermeyer	UC Berkeley, Berkeley, CA	10.1145/3287560.3287593
Sendhil	Mullainathan	University of Chicago, Chicago, IL	10.1145/3287560.3287593
Ben	Green	Harvard University	10.1145/3287560.3287563
Yiling	Chen	Harvard University	10.1145/3287560.3287563
Michael	Kearns	Department of Computer and Information Sciences, University of Pennsylvania	10.1145/3287560.3287592
Seth	Neel	Department of Statistics, University of Pennsylvania	10.1145/3287560.3287592
Aaron	Roth	Department of Computer and Information Sciences, University of Pennsylvania	10.1145/3287560.3287592
Zhiwei Steven	Wu	Department of Computer Science and Engineering, University of Minnesota	10.1145/3287560.3287592
Jake	Goldenfein	Cornell Tech, New York, New York and Cornell Tech, Cornell University and Swinburne University of Technology	10.1145/3287560.3287568
Maria	De-Arteaga	Carnegie Mellon University	10.1145/3287560.3287572
Alexey	Romanov	University of Massachusetts Lowell	10.1145/3287560.3287572
Hanna	Wallach	Microsoft Research	10.1145/3287560.3287572
Jennifer	Chayes	Microsoft Research	10.1145/3287560.3287572
Christian	Borgs	Microsoft Research	10.1145/3287560.3287572
Alexandra	Chouldechova	Carnegie Mellon University	10.1145/3287560.3287572
Sahin	Geyik	LinkedIn	10.1145/3287560.3287572
Krishnaram	Kenthapadi	LinkedIn	10.1145/3287560.3287572
Adam Tauman	Kalai	Microsoft Research	10.1145/3287560.3287572
Abhijnan	Chakraborty	MPI for Software Systems, Germany IIT Kharagpur, India	10.1145/3287560.3287570
Gourab K.	Patro	IIT Kharagpur, India	10.1145/3287560.3287570
Niloy	Ganguly	IIT Kharagpur, India	10.1145/3287560.3287570
Krishna P.	Gummadi	MPI for Software Systems, Germany	10.1145/3287560.3287570
Patrick	Loiseau	Univ. Grenoble Alpes, Inria, CNRS, Grenoble INP, LIG &amp; MPI SWS	10.1145/3287560.3287570
Mahmoudreza	Babaei	MPI-SWS, Germany	10.1145/3287560.3287581
Abhijnan	Chakraborty	MPI-SWS, Germany	10.1145/3287560.3287581
Juhi	Kulshrestha	GESIS, Germany	10.1145/3287560.3287581
Elissa M.	Redmiles	University of Maryland, US	10.1145/3287560.3287581
Meeyoung	Cha	KAIST, South Korea	10.1145/3287560.3287581
Krishna P.	Gummadi	MPI-SWS, Germany	10.1145/3287560.3287581
Filipe N.	Ribeiro	UFOP/UFMG, Brazil	10.1145/3287560.3287580
Koustuv	Saha	Georgia Tech, US	10.1145/3287560.3287580
Mahmoudreza	Babaei	MPI-SWS, Germany	10.1145/3287560.3287580
Lucas	Henrique	UFMG, Brazil	10.1145/3287560.3287580
Johnnatan	Messias	MPI-SWS, Germany	10.1145/3287560.3287580
Fabricio	Benevenuto	UFMG, Brazil	10.1145/3287560.3287580
Oana	Goga	Univ. Grenoble Alpes, CNRS, Grenoble INP, LIG, France	10.1145/3287560.3287580
Krishna P.	Gummadi	MPI-SWS, Germany	10.1145/3287560.3287580
Elissa M.	Redmiles	University of Maryland, US	10.1145/3287560.3287580
Dimitrios	Bountouridis	Delft University of Technology, The Netherlands	10.1145/3287560.3287583
Jaron	Harambam	Institute for Information Law, University of Amsterdam, The Netherlands	10.1145/3287560.3287583
Mykola	Makhortykh	Amsterdam School of Communication Research, University of Amsterdam, The Netherlands	10.1145/3287560.3287583
MÃ³nica	Marrero	Delft University of Technology, The Netherlands	10.1145/3287560.3287583
Nava	Tintarev	Delft University of Technology, The Netherlands	10.1145/3287560.3287583
Claudia	Hauff	Delft University of Technology, The Netherlands	10.1145/3287560.3287583
L. Elisa	Celis	Yale University	10.1145/3287560.3287601
Sayash	Kapoor	IIT Kanpur	10.1145/3287560.3287601
Farnood	Salehi	Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL)	10.1145/3287560.3287601
Nisheeth	Vishnoi	Yale University	10.1145/3287560.3287601
Hadi	Elzayn	University of Pennsylvania	10.1145/3287560.3287571
Shahin	Jabbari	University of Pennsylvania	10.1145/3287560.3287571
Christopher	Jung	University of Pennsylvania	10.1145/3287560.3287571
Michael	Kearns	University of Pennsylvania	10.1145/3287560.3287571
Seth	Neel	University of Pennsylvania	10.1145/3287560.3287571
Aaron	Roth	University of Pennsylvania	10.1145/3287560.3287571
Zachary	Schutzman	University of Pennsylvania	10.1145/3287560.3287571
Moshe	Babaioff	Microsoft Research	10.1145/3287560.3287582
Noam	Nisan	Hebrew University of Jerusalem	10.1145/3287560.3287582
Inbal	Talgam-Cohen	Technion	10.1145/3287560.3287582
Hoda	Heidari	ETH ZÃ¼rich	10.1145/3287560.3287584
Michele	Loi	University of ZÃ¼rich	10.1145/3287560.3287584
Krishna P.	Gummadi	MPI-SWS	10.1145/3287560.3287584
Andreas	Krause	ETH ZÃ¼rich	10.1145/3287560.3287584
Meg	Young	University of Washington	10.1145/3287560.3287577
Luke	Rodriguez	University of Washington	10.1145/3287560.3287577
Emily	Keller	University of Washington	10.1145/3287560.3287577
Feiyang	Sun	University of Washington	10.1145/3287560.3287577
Boyang	Sa	University of Washington	10.1145/3287560.3287577
Jan	Whittington	University of Washington	10.1145/3287560.3287577
Bill	Howe	University of Washington	10.1145/3287560.3287577
Shan	Jiang	Northeastern University	10.1145/3287560.3287565
John	Martin	Northeastern University	10.1145/3287560.3287565
Christo	Wilson	Northeastern University	10.1145/3287560.3287565
Aws	Albarghouthi	University of Wisconsin-Madison	10.1145/3287560.3287588
Samuel	Vinitsky	University of Wisconsin-Madison	10.1145/3287560.3287588
Margaret	Mitchell	N/A	10.1145/3287560.3287596
Simone	Wu	N/A	10.1145/3287560.3287596
Andrew	Zaldivar	N/A	10.1145/3287560.3287596
Parker	Barnes	N/A	10.1145/3287560.3287596
Lucy	Vasserman	N/A	10.1145/3287560.3287596
Ben	Hutchinson	N/A	10.1145/3287560.3287596
Elena	Spitzer	N/A	10.1145/3287560.3287596
Inioluwa Deborah	Raji	N/A	10.1145/3287560.3287596
Timnit	Gebru	N/A	10.1145/3287560.3287596
Smitha	Milli	University of California, Berkeley	10.1145/3287560.3287576
John	Miller	University of California, Berkeley	10.1145/3287560.3287576
Anca D.	Dragan	University of California, Berkeley	10.1145/3287560.3287576
Moritz	Hardt	University of California, Berkeley	10.1145/3287560.3287576
Sampath	Kannan	University of Pennsylvania	10.1145/3287560.3287578
Aaron	Roth	University of Pennsylvania	10.1145/3287560.3287578
Juba	Ziani	California Institute of Technology	10.1145/3287560.3287578
Nicole	Immorlica	Microsoft Research	10.1145/3287560.3287579
Katrina	Ligett	Hebrew University of Jerusalem	10.1145/3287560.3287579
Juba	Ziani	California Institute of Technology	10.1145/3287560.3287579
Lily	Hu	Harvard University, Cambridge, MA	10.1145/3287560.3287597
Nicole	Immorlica	Microsoft Research, Cambridge, MA	10.1145/3287560.3287597
Jennifer Wortman	Vaughan	Microsoft Research, New York, NY	10.1145/3287560.3287597
Bruce	Glymour	Department of Philosophy, Kansas State University, Manhattan, KS, USA	10.1145/3287560.3287573
Jonathan	Herington	Department of Philosophy, Kansas State University, Manhattan, KS, USA	10.1145/3287560.3287573
Brent	Mittelstadt	University of Oxford, The Alan Turing Institute	10.1145/3287560.3287574
Chris	Russell	University of Surrey, The Alan Turing Institute	10.1145/3287560.3287574
Sandra	Wachter	University of Oxford, The Alan Turing Institute	10.1145/3287560.3287574
Sebastian	Benthall	New York University	10.1145/3287560.3287575
Bruce D.	Haynes	University of California, Davis	10.1145/3287560.3287575
Brenda	Leong	Future of Privacy Forum, Washington, D.C, USA	10.1145/3287560.3287591
Evan	Selinger	Department of Philosophy, Rochester Institute of Technology, Rochester, NY, USA	10.1145/3287560.3287591
Ran	Canetti	Boston University and Tel Aviv University	10.1145/3287560.3287561
Aloni	Cohen	MIT	10.1145/3287560.3287561
Nishanth	Dikkala	MIT	10.1145/3287560.3287561
Govind	Ramnarayan	MIT	10.1145/3287560.3287561
Sarah	Scheffler	Boston University	10.1145/3287560.3287561
Adam	Smith	Boston University	10.1145/3287560.3287561
L. Elisa	Celis	Yale University	10.1145/3287560.3287586
Lingxiao	Huang	EPFL	10.1145/3287560.3287586
Vijay	Keswani	EPFL	10.1145/3287560.3287586
Nisheeth K.	Vishnoi	Yale University	10.1145/3287560.3287586
Sorelle A.	Friedler	Haverford College	10.1145/3287560.3287589
Carlos	Scheidegger	University of Arizona	10.1145/3287560.3287589
Suresh	Venkatasubramanian	University of Utah	10.1145/3287560.3287589
