paper_id	id	country_code
3	1	USA
4	2	AUS
6	3	USA
7	4	USA
10	5	KEN
11	6	USA
12	7	GBR
13	8	KOR
16	9	USA
16	10	USA
17	11	USA
20	12	USA
23	13	USA
31	14	DEU
32	15	USA
35	16	USA
39	17	KEN
42	18	CHN
43	19	GBR
44	20	GBR
44	21	AUS
44	22	SGP
45	23	AUS
47	24	USA
49	25	USA
49	26	KOR
50	27	KOR
51	28	IND
51	29	USA
52	30	USA
57	31	IND
58	32	USA
59	33	USA
60	34	USA
62	35	DEU
65	36	USA
66	37	USA
67	38	PHL
69	39	USA
76	40	USA
78	41	CHN
81	42	AUS
85	43	USA
91	44	USA
92	45	USA
96	46	USA
97	47	USA
106	48	USA
113	49	CHN
114	50	USA
119	51	CAN
120	52	USA
132	53	KOR
139	54	USA
153	55	USA
155	56	CAN
158	57	USA
165	58	NLD
168	59	DEU
170	60	USA
175	61	DEU
177	62	CHN
178	63	CAN
179	64	DEU
190	65	BRA
191	66	ZAF
196	67	CHN
199	68	USA
206	69	USA
216	70	USA
219	71	USA
227	72	ECU
228	73	IND
228	74	IND
241	75	USA
247	76	USA
249	77	USA
250	78	USA
254	79	DEU
255	80	USA
260	81	AUS
284	82	ISR
286	83	DEU
289	84	EGY
291	85	USA
293	86	USA
299	87	GBR
304	88	USA
310	89	NZL
311	90	USA
313	91	USA
317	92	IND
325	93	USA
326	94	GBR
338	95	NLD
340	96	CHE
345	97	GBR
347	98	USA
351	99	IND
355	100	CAN
356	101	IRL
362	102	FRA
364	103	DNK
365	104	USA
376	105	GBR
379	106	USA
381	107	GBR
395	108	USA
395	109	GBR
395	110	IND
395	111	CAN
395	112	DEU
395	113	AUS
395	114	SGP
395	115	KOR
395	116	KEN
395	117	JPN
395	118	FRA
395	119	BRA
395	120	UKR
395	121	NLD
395	122	CHN
397	123	USA
404	124	GBR
405	125	DEU
406	126	KEN
406	127	IND
406	128	ZAF
407	129	GBR
409	130	SWE
417	131	USA
420	132	USA
