paper_id	author_id	author_name	affiliation	country
1	1	Sauvik Das	Georgia Institute of Technology	USA
1	2	Joanne Lo	Carnegie Mellon University	USA
1	3	Laura Dábbish	Carnegie Mellon University	USA
1	4	Jason I. Hong	Carnegie Mellon University	USA
2	5	Youngjun Cho	University College London	GBR
2	6	Nadia Bianchi-Berthouze	University College London	GBR
2	7	Nicolai Marquardt	University College London	GBR
2	8	Simon J. Julier	University College London	GBR
3	9	Q. Vera Liao	IBM Research	USA
3	10	Muhammed Mas-ud Hussain	Northwestern University	USA
3	11	Praveen Chandar	Spotify	USA
3	12	Matthew Davis	IBM Research	USA
3	13	Yasaman Khazaen	IBM Research	USA
3	14	Marco Patricio Crasso	Capital Federal	ARG
3	15	Dakuo Wang	IBM Research	USA
3	16	Michael Muller	Cambridge University	GBR
3	17	N. Sadat Shami	IBM Research	USA
3	18	Werner Geyer	IBM Research	USA
4	19	Rikke Hagensby Jensen	Aalborg University	DNK
4	20	Yolande Strengers	RMIT University	AUS
4	21	Jesper Kjeldskov	Aalborg University	DNK
4	22	Larissa Nicholls	RMIT University	AUS
4	23	Mikael B. Skov	Aalborg University	DNK
5	24	Bahare Barati	Delft University of Technology	NLD
5	25	Elisa Giaccardi	Delft University of Technology	NLD
5	26	Elvin Karana	Delft University of Technology	NLD
6	27	Chelsea Myers	Drexel University	USA
6	28	Anushay Furqan	Drexel University	USA
6	29	Jessica Nebolski	Drexel University	USA
6	30	Karina Caro	Drexel University	USA
6	31	Jichen Zhu	Drexel University	USA
7	32	Andrew Garbett	Newcastle University	GBR
7	33	David Chatting	Newcastle University	GBR
7	34	Gerard Wilkinson	Newcastle University	GBR
7	35	Clement Lee	Newcastle University	GBR
7	36	Ahmed Kharrufa	Newcastle University	GBR
8	37	Foad Hamidi	University of Maryland	USA
8	38	Morgan Klaus Scheuermann	University of Maryland	USA
8	39	Stacy M. Branham	University of Maryland	USA
9	40	J. Nathan Matias	Massachusetts Institute of Technology	USA
9	41	Merry Mou	Massachusetts Institute of Technology	USA
10	42	George “Hope” Chidziwisano	Michigan State University	USA
10	43	Susan Wyche	Michigan State University	USA
11	44	Rushil Kurana	Carnegie Mellon University	USA
11	45	Duncan McIsaac	Carnegie Mellon University	USA
11	46	Elliot Lockermann	Carnegie Mellon University	USA
11	47	Jennifer Mankoff	University of Washington	USA
12	48	Abigail C. Durrant	Northumbria University	GBR
12	49	David S. Kirk	Northumbria University	GBR
12	50	Diego Trujillo-Pisanti	Newcastle University	GBR
12	51	Sarah Martindale	University of Nottingham	GBR
13	52	Gahgene Gweon	Seoul National University	KOR
13	53	Bugeun Kim	Seoul National University	KOR
13	54	Jinyoung Kim	Seoul National University	KOR
13	55	Jueun Choi	Seoul National University	KOR
13	56	Jungwook Rim	Seoul National University	KOR
13	57	Kung Jin Lee	University of Washington	USA
14	58	Yvonne Jansen	Sorbonne Université	FRA
14	59	Kasper Hornbaek	University of Copenhagen	DNK
15	60	Elizabeth Stowell	Northeastern University	USA
15	61	Herman Saksono	Northeastern University	USA
15	62	Renee C. Wurth	Northeastern University	USA
15	63	Holly Jimison	Northeastern University	USA
15	64	Misha Pavel	Northeastern University	USA
15	65	Andrea G. Parker	Northeastern University	USA
15	66	Mercedes C. Lyson	Tufts Medical Center	USA
16	67	Kristen Vaccaro	University of Illinois	USA
16	68	Dylan Hunag	University of Illinois	USA
16	69	Motahhare Eslami	University of Illinois	USA
16	70	Kevin Hamilton	University of Illinois	USA
16	71	Christian Sandvig	University of Michigan	USA
16	72	Karrie Karahalios	Adobe Research	USA
17	73	German Flores	University of California	USA
17	74	Roberto Manduchi	University of California	USA
18	75	Euan Freeman	University of Glasgow	GBR
18	76	Julie Williamson	University of Glasgow	GBR
18	77	Stephen Brewster	University of Glasgow	GBR
18	78	Sriram Subramanian	University of Sussex	GBR
19	79	Tom Horak	Technical University of Dresden	DEU
19	80	Raimund Dachselt	Technical University of Dresden	DEU
19	81	Sriram Karthik Badam	University of Maryland	USA
19	82	Niklas Elmqvist	University of Maryland	USA
20	83	Syed Masum Billah	Stony Brook University	USA
20	84	Vikas Ashok	Stony Brook University	USA
20	85	IV Ramakrishnan	Stony Brook University	USA
20	86	Donald E. Porter	University of North Carolina	USA
21	87	Daniel Buschek	LMU Munich	DEU
21	88	Bianka Roppelt	LMU Munich	DEU
21	89	Florian Alt	Munich University of applied sciences	DEU
