paper_id	id	country	city	nb_participants
3	1	USA		337
4	2	AUS		35
6	3	USA		12
7	4	USA		30
10	5	KEN		20
11	6	USA		15
12	7	GBR		15
13	8	KOR		72
16	9	USA	Urbana	32
16	10	USA		106
17	11	USA		6
20	12	USA	New York	15
23	13	USA	Charlotte	30
31	14	DEU	Stuttgart	16
32	15	USA	San Diego	15
35	16	USA	Seattle	10
39	17	KEN	Tharaka Nithi	27
42	18	CHN		12
43	19	GBR		32
44	20	GBR		56
44	21	AUS		3
44	22	SGP		1
45	23	AUS	Adelaide	16
47	24	USA		11
49	25	USA		20
49	26	KOR		3
50	27	KOR		187
51	28	IND		400
51	29	USA		374
52	30	USA		356
57	31	IND		15
58	32	USA		19
59	33	USA	Seattle	14
60	34	USA		1080
62	35	DEU		14
65	36	USA		12
66	37	USA		36
67	38	PHL		24
69	39	USA		6
76	40	USA		18
78	41	CHN		39
81	42	AUS		12
85	43	USA		19
91	44	USA		107
92	45	USA		32
96	46	USA		25
97	47	USA		21
106	48	USA		460
113	49	CHN		52
114	50	USA		17
119	51	CAN	Toronto	5
120	52	USA		28
132	53	KOR		12
139	54	USA		27
153	55	USA		5277
155	56	CAN	Vancouver	8
158	57	USA		27
165	58	NLD		6
168	59	DEU		66
170	60	USA		61
175	61	DEU		95
177	62	CHN		12
178	63	CAN		18
179	64	DEU		180
190	65	BRA		24
191	66	ZAF		35
196	67	CHN	Shanghai	36
199	68	USA	Charlotte	60
206	69	USA	Cambridge	104
216	70	USA		24
219	71	USA	Berkeley	13
227	72	ECU		21
228	73	IND	Mumbai	102
228	74	IND	Bangalore	98
241	75	USA		52
247	76	USA	New York	21
249	77	USA		17
250	78	USA		30
254	79	DEU		30
255	80	USA		18
260	81	AUS	Melbourne	40
284	82	ISR		48
286	83	DEU		31
289	84	EGY		19
291	85	USA		709
293	86	USA		190
299	87	GBR	London	40
304	88	USA		361
310	89	NZL		701
311	90	USA		48
313	91	USA		24
317	92	IND		57
325	93	USA		68
326	94	GBR		54
338	95	NLD		69
340	96	CHE		26
345	97	GBR		6
347	98	USA		15
351	99	IND		39
355	100	CAN	Toronto	36
356	101	IRL		31
362	102	FRA		29
364	103	DNK	Aalborg	32
365	104	USA		67
376	105	GBR		409
379	106	USA		16
381	107	GBR		26
395	108	USA		182
395	109	GBR		36
395	110	IND		60
395	111	CAN		29
395	112	DEU		34
395	113	AUS		6
395	114	SGP		6
395	115	KOR		4
395	116	KEN		4
395	117	JPN		2
395	118	FRA		33
395	119	BRA		33
395	120	UKR		20
395	121	NLD		20
395	122	CHN		20
397	123	USA		73
404	124	GBR		39
405	125	DEU		24
406	126	KEN	Nairobi	13
406	127	IND	Mumbai	15
406	128	ZAF	Cape Town	6
407	129	GBR	Bath	54
409	130	SWE	Gothenburg	10
417	131	USA		50
420	132	USA		9
420	133	GBR		2
420	134	CAN		3
420	135	BRA		1
431	136	USA	San Francisco	32
432	137	DEU		16
435	138	DEU		20
437	139	USA		100
441	140	GBR		19
442	141	USA	Seattle	65
445	142	DEU	Potsdam	12
446	143	GBR	Sutton	20
452	144	CAN		105
465	145	CHN		527
468	146	USA		16
474	147	NOR		3
474	148	GBR		2
477	149	JPN		20
478	150	USA		28
494	151	USA		54
497	152	IND		12
498	153	USA		12
502	154	DEU	Berlin	16
511	155	USA		329
511	156	IND		23
511	157	FRA		43
511	158	GBR		36
511	159	DEU		34
511	160	CAN		18
513	161	GBR		7
516	162	GBR		11
517	163	USA		14
518	164	AUT		26
519	165	USA		46
522	166	USA		12
527	167	CHN		8
531	168	USA		18
534	169	USA		12
535	170	BGD		50
536	171	USA		82
537	172	USA		13
541	173	KOR		36
551	174	IND		63
553	175	USA		60
557	176	TWN		12
560	177	USA		41
566	178	USA		24
570	179	FIN	Helsinki	32
572	180	IND	Bangalore	5
572	181	IND	Mumbai	6
572	182	IND	Chennai	2
572	183	IND	Greater Noida	7
572	184	IND	Kogda	7
573	185	USA		34
575	186	GBR	Newcastle upon Tyne	15
579	187	USA	Berkeley	16
580	188	USA	New York	45
582	189	USA	New York	30
583	190	SWE	Trelleborg/Kvarnby	70
586	191	CAN	Toronto	23
599	192	USA		2189
603	193	GBR	Edinburgh	3
605	194	USA		156
606	195	USA		148
613	196	USA		111
614	197	KOR		20
626	198	USA		69
627	199	USA	Seattle	26
631	200	USA		76
635	201	CHN		32
637	202	GBR		14
648	203	KOR		30
649	204	USA	Seattle	30
652	205	DEU	Stuttgart	36
655	206	USA	San Francisco	44
658	207	USA		30
666	208	USA	New York	89
672	209	ARG		33
672	210	NOR		6
672	211	POL		9
672	212	CHE		5
672	213	SWE		5
672	214	USA		2
672	215	IND		18
672	216	VNM		5
673	217	USA		184
674	218	USA		150
675	219	IND		12
676	220	USA		238
679	221	GBR		45
692	222	USA		748
693	223	USA		8
695	224	USA	Madison	36
699	225	USA		961
706	226	USA	Atlanta	12
712	227	KOR		29
715	228	GBR		7
717	229	USA	Ithaca	68
719	230	CHN	Hong Kong	27
721	231	USA		9
721	232	FRA		9
721	233	ISR		4
721	234	DEU		2
721	235	CAN		2
721	236	PAN		2
722	237	USA		311
724	238	USA		1252
727	239	CHN	Beijing	12
728	240	CHN	Beijing	12
730	241	KOR		32
732	242	USA		88
733	243	CHN	Zhijiang	7
733	244	CHN	Huaihua	11
733	245	CHN	Shenzen	12
734	246	USA		21
740	247	USA		71
741	248	GBR	St. Andrews	21
743	249	USA	Seattle	146
746	250	BGD		606
748	251	USA		3000
761	252	GBR		40
765	253	GBR		12
766	254	USA		8
767	255	JPN		50
772	256	GBR	Birmingham	16
779	257	GBR		14
785	258	USA		144
790	259	USA	West Lafayette	17
793	260	DEU	Potsdam	19
794	261	USA		85
794	262	NLD		1
794	263	CAN		1
798	264	USA		353
799	265	USA	Wellesley	327
803	266	USA	Chicago	60
808	267	CHN		32
809	268	USA		10
809	269	AUS		1
812	270	CAN	Halifax	10
817	271	GBR		12
818	272	USA	College Park	10
819	273	USA		9
819	274	CHN		6
821	275	CAN		8
824	276	USA		206
825	277	IND		24
830	278	DEU		28
836	279	IND		27
836	280	USA		6
836	281	CHN		5
836	282	IDN		1
836	283	COL		1
837	284	USA		47
837	285	GBR		28
837	286	CAN		16
840	287	USA	Washington D.C.	65
843	288	IND		4
850	289	USA		5
853	290	USA		13
854	291	USA		15
855	292	CHN		500
855	293	FRA		500
855	294	JPN		500
855	295	KOR		500
855	296	RUS		500
855	297	ARE		500
855	298	USA		500
856	299	USA		15
857	300	USA		122
860	301	GBR	Bath	15
865	302	USA	Chicago	27
869	303	GBR		274
875	304	USA		18
876	305	KOR	Daejon	8
878	306	GBR	Bristol	12
883	307	FIN		1000
885	308	USA		209
886	309	KOR	Seoul	22
890	310	USA	Madison	32
894	311	AUT		20
895	312	USA		55
903	313	USA	Detroit	13
904	314	IND		71
905	315	EGY		8
906	316	IND		295
925	317	DEU	Stuttgart	21
927	318	FIN	Tampere	24
928	319	DEU	Munich	27
930	320	USA		28
936	321	USA	Stanford	24
938	322	USA	San Francisco	44
943	323	USA	Urbana	277
946	324	USA		26
949	325	FRA		16
950	326	JPN	Tsukuba	5
953	327	IND		42
954	328	GBR		78
955	329	USA	Pittsburgh	31
963	330	JPN		140
964	331	USA		464
964	332	GBR		160
964	333	CAN		60
964	334	AUS		19
967	335	KOR		173
969	336	GBR		14
969	337	USA		2
969	338	AUS		1
986	339	DEU		18
989	340	USA		661
990	341	ESP		23
990	342	IRN		2
990	343	ETH		1
990	344	ITA		1
990	345	LKA		1
990	346	USA		1
990	347	URY		1
993	348	USA		228
994	349	USA		718
996	350	CHE	Lausanne/Fribourg	20
997	351	CUB		41
1000	352	GBR		4
1001	353	AUS	Melbourne	1
1003	354	CAN		20
1015	355	IND		36
1018	356	GBR		24
1018	357	SWE		6
1020	358	USA		38
1027	359	DEU		131
1027	360	EGY		28
1029	361	USA	Iowa City	30
1030	362	USA	New York	18
1034	363	CHN	Beijing	6
1036	364	USA		18
