paper_id,affiliation,country
7,MIT,USA
7,Microsoft,USA
17,DePaul University ,USA
17,DePaul University ,USA
17,DePaul University ,USA
12,Carnegie Mellon University ,USA
12,University of Southern California,USA
12,Auckland University of Technology ,NZL
12,Auckland University of Technology ,NZL
12,Auckland University of Technology ,NZL
15,Boise State University ,USA
15,Boise State University ,USA
15,Boise State University ,USA
15,Boise State University ,USA
15,Boise State University ,USA
15,Boise State University ,USA
15,Boise State University ,USA
14,University of Utah ,USA
14,Haverford College ,USA
14,University of Utah ,USA
14,University of Arizona ,USA
14,University of Utah ,USA
16,National Institute of Advanced Industrial Science and Technology ,JPN
16,National Institute of Advanced Industrial Science and Technology ,JPN
16,National Institute of Advanced Industrial Science and Technology ,JPN
16,University of Tsukuba,JPN
8,IBM Research-INDIA ,IND
8,IBM Research-INDIA ,IND
8,IIIT-Delhi ,IND
8,IIIT-Delhi ,IND
8,IIIT-Delhi ,IND
8,MSIT Delhi ,IND
8,DTU-Delhi ,IND
5,Haverford College ,USA
5,Google Inc.,USA
5,Haverford College ,USA
1,MPI-SWS ,DEU
1,MPI-SWS ,DEU
1,Northeastern University ,USA
1,"UFOP, UFMG ",BRA
1,MPI-SWS ,DEU
1,UFMG ,BRA
1,MPI-SWS ,DEU
1,Univ. Grenoble Alpes ,FRA
1,Northeastern University ,USA
19,"Harvard University, Cambridge, MA",USA
19,"Carnegie Mellon University, Pittsburgh, PA",USA
19,"UC Santa Cruz CSE, Santa Cruz, CA",USA
20,The University of Surrey and The Alan Turing Institute,GBR
21,University of Colorado Boulder,USA
21,University of Colorado Boulder,USA
22,"Information Science, Cornell University",USA
22,"Information Science, Cornell University",USA
28,Harvard University,USA
28,Harvard University,USA
29,"Department of Computer and Information Sciences, University of Pennsylvania",USA
29,"Department of Statistics, University of Pennsylvania",USA
29,"Department of Computer and Information Sciences, University of Pennsylvania",USA
29,"Department of Computer Science and Engineering, University of Minnesota",USA
36,Yale University,USA
36,IIT Kanpur,IND
36,Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne (EPFL),CHE
36,Yale University,USA
39,ETH ZÃ¼rich,CHE
39,University of ZÃ¼rich,CHE
39,MPI-SWS,DEU
39,ETH ZÃ¼rich,CHE
42,University of Wisconsin-Madison,USA
42,University of Wisconsin-Madison,USA
44,"University of California, Berkeley",USA
44,"University of California, Berkeley",USA
44,"University of California, Berkeley",USA
44,"University of California, Berkeley",USA
52,Boston University and Tel Aviv University,USA
52,MIT,USA
52,MIT,USA
52,MIT,USA
52,Boston University,USA
52,Boston University,USA
53,Yale University,USA
53,EPFL,CHE
53,EPFL,CHE
53,Yale University,USA
54,Haverford College,USA
54,University of Arizona,USA
54,University of Utah,USA
54,University of Utah,USA
54,Haverford College,USA
54,Haverford College,USA
55,,
55,"Cornell Tech, New York, New York, USA",USA
55,"Cornell Tech, New York, New York, USA",USA
55,,
55,"Cornell University, Ithaca, New York, USA",USA
56,"University of Toronto, Vector Institute",CAN
56,"University of Toronto, Vector Institute",CAN
56,"University of Toronto, Vector Institute",CAN
56,"University of Toronto, Vector Institute",CAN
58,"Machine Learning Department, Carnegie Mellon University, Pittsburgh, Pennsylvania",USA
58,"Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, Washington",USA
58,"Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, Washington and Allen Institute for Artificial, Intelligence, Seattle, Washington",USA
67,"University of Amsterdam, Amsterdam, Netherlands",NLD
67,"Ahold Delhaize, Zaandam, Netherlands",NLD
67,"University of Amsterdam, Amsterdam, Netherlands",NLD
70,Carnegie Mellon University,USA
70,Carnegie Mellon University,USA
70,Carnegie Mellon University,USA
71,"University of DÃ¼sseldorf, Germany",DEU
71,"University of DÃ¼sseldorf, Germany",DEU
71,"University of DÃ¼sseldorf, Germany",DEU
71,"University of DÃ¼sseldorf, Germany",DEU
73,Carnegie Mellon University,USA
73,University of Chicago,USA
73,University of Chicago,USA
73,University of Chicago,USA
73,Los Angeles City Attorney's Office,USA
73,Carnegie Mellon University,USA
76,EPFL,CHE
