paper_id	publication_year
1	2018
2	2018
3	2018
4	2018
5	2018
6	2018
7	2018
8	2018
9	2018
10	2018
11	2018
12	2018
13	2018
14	2018
15	2018
16	2018
17	2018
18	2019
19	2019
20	2019
21	2019
22	2019
23	2019
24	2019
25	2019
26	2019
27	2019
28	2019
29	2019
30	2019
31	2019
32	2019
33	2019
34	2019
35	2019
36	2019
37	2019
38	2019
39	2019
40	2019
41	2019
42	2019
43	2019
44	2019
45	2019
46	2019
47	2019
48	2019
49	2019
50	2019
51	2019
52	2019
53	2019
54	2019
55	2019
56	2019
57	2019
58	2019
59	2020
60	2020
61	2020
62	2020
63	2020
64	2020
65	2020
66	2020
67	2020
68	2020
69	2020
70	2020
71	2020
72	2020
73	2020
74	2020
75	2020
76	2020
77	2020
78	2020
79	2020
80	2020
81	2020
82	2020
83	2020
84	2020
85	2020
86	2020
87	2020
88	2020
89	2020
90	2020
91	2020
92	2020
93	2020
94	2020
95	2020
96	2020
97	2020
98	2020
99	2020
100	2020
101	2020
102	2020
103	2020
104	2020
105	2020
106	2020
107	2020
108	2020
109	2020
110	2020
111	2020
112	2020
113	2020
114	2020
115	2020
116	2020
117	2020
118	2020
119	2020
120	2020
121	2020
122	2020
123	2020
124	2020
125	2020
126	2020
127	2020
128	2020
129	2020
130	2020
131	2020
132	2020
133	2020
134	2020
135	2020
136	2020
137	2020
138	2020
139	2020
140	2020
141	2020
142	2020
143	2020
144	2020
145	2020
146	2020
147	2020
148	2020
149	2020
150	2020
151	2020
152	2020
153	2020
154	2021
155	2021
156	2021
157	2021
158	2021
159	2021
160	2021
161	2021
162	2021
163	2021
164	2021
165	2021
166	2021
167	2021
168	2021
169	2021
170	2021
171	2021
172	2021
173	2021
174	2021
175	2021
176	2021
177	2021
178	2021
179	2021
180	2021
181	2021
182	2021
183	2021
184	2021
185	2021
186	2021
187	2021
188	2021
189	2021
190	2021
191	2021
192	2021
193	2021
194	2021
195	2021
196	2021
197	2021
198	2021
199	2021
200	2021
201	2021
202	2021
203	2021
204	2021
205	2021
206	2021
207	2021
208	2021
209	2021
210	2021
211	2021
212	2021
213	2021
214	2021
215	2021
216	2021
217	2021
218	2021
219	2021
220	2021
221	2021
222	2021
223	2021
224	2021
225	2021
226	2021
227	2021
228	2021
229	2021
230	2021
231	2021
232	2021
233	2021
234	2021
235	2021
236	2022
237	2022
238	2022
239	2022
240	2022
241	2022
242	2022
243	2022
244	2022
245	2022
246	2022
247	2022
248	2022
249	2022
250	2022
251	2022
252	2022
253	2022
254	2022
255	2022
256	2022
257	2022
258	2022
259	2022
260	2022
261	2022
262	2022
263	2022
264	2022
265	2022
266	2022
267	2022
268	2022
269	2022
270	2022
271	2022
272	2022
273	2022
274	2022
275	2022
276	2022
277	2022
278	2022
279	2022
280	2022
281	2022
282	2022
283	2022
284	2022
285	2022
286	2022
287	2022
288	2022
289	2022
290	2022
291	2022
292	2022
293	2022
294	2022
295	2022
296	2022
297	2022
298	2022
299	2022
300	2022
301	2022
302	2022
303	2022
304	2022
305	2022
306	2022
307	2022
308	2022
309	2022
310	2022
311	2022
312	2022
313	2022
314	2022
315	2022
316	2022
317	2022
318	2022
319	2022
320	2022
321	2022
322	2022
323	2022
324	2022
325	2022
326	2022
327	2022
328	2022
329	2022
330	2022
331	2022
332	2022
333	2022
334	2022
335	2022
336	2022
337	2022
338	2022
339	2022
340	2022
341	2022
342	2022
343	2022
344	2022
345	2022
346	2022
347	2022
348	2022
349	2022
350	2022
351	2022
352	2022
353	2022
354	2022
355	2022
356	2022
357	2022
358	2022
359	2022
360	2022
361	2022
362	2022
363	2022
364	2022
365	2022
366	2022
367	2022
368	2022
369	2022
370	2022
371	2022
372	2022
373	2022
374	2022
375	2022
376	2022
377	2022
378	2022
379	2022
380	2022
381	2022
382	2022
383	2022
384	2022
385	2022
386	2022
387	2022
388	2022
389	2022
390	2022
391	2022
392	2022
393	2022
394	2022
395	2022
396	2022
397	2022
398	2022
399	2022
400	2022
401	2022
402	2022
403	2022
404	2022
405	2022
406	2022
407	2022
408	2022
409	2022
410	2022
411	2022
412	2022
413	2022
414	2022
415	2022
416	2022
